"","event_logs","activity_f1_mean","activity_f1_std","activity_f2_mean","activity_f2_std","resource_f1_mean","resource_f1_std","resource_f2_mean","resource_f2_std"
"1","BPIC12_A.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"2","BPIC12_const.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"3","BPIC12_mode_case.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"4","BPIC12_mode_event.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"5","BPIC12_O.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"6","BPIC12_W_const.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"7","BPIC12_W_mode_case.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"8","BPIC12_W_mode_event.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"9","BPIC12_W.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"10","BPIC12_Wc_const.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"11","BPIC12_Wc_mode_case.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"12","BPIC12_Wc_mode_event.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"13","BPIC12_Wc.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"14","BPIC12.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"15","BPIC13_CP_const.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"16","BPIC13_CP_mode_case.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"17","BPIC13_CP_mode_event.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"18","BPIC13_CP.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"19","BPIC15_1.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"20","BPIC15_2.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"21","BPIC15_3.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"22","BPIC15_4.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"23","BPIC15_5.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"24","BPIC17_O.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"25","BPIC20_RFP.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"26","Helpdesk.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"27","Mobis_const.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"28","Mobis_mode_case.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"29","Mobis_mode_event.csv","NA","NA","NA","NA","NA","NA","NA","NA"
"30","Mobis.csv","NA","NA","NA","NA","NA","NA","NA","NA"
