,trace_id,event_id,activity,timestamp,resource
0,Case1,0,Assign seriousness,2012-10-09 11:50:17+00:00,Value 1
1,Case2,0,Assign seriousness,2012-04-03 05:55:38+00:00,Value 4
2,Case3,0,Assign seriousness,2010-10-29 07:14:06+00:00,Value 6
3,Case4,0,Assign seriousness,2010-12-15 12:31:53+00:00,Value 8
4,Case5,0,Assign seriousness,2012-04-03 10:08:32+00:00,Value 9
5,Case6,0,Assign seriousness,2011-10-25 12:13:58+00:00,Value 2
6,Case7,0,Assign seriousness,2013-11-06 08:47:35+00:00,Value 1
7,Case7,1,Assign seriousness,2013-11-06 08:48:53+00:00,Value 1
8,Case7,2,Assign seriousness,2013-11-22 06:00:08+00:00,Value 2
9,Case8,0,Assign seriousness,2012-07-05 05:30:32+00:00,Value 1
10,Case9,1,Assign seriousness,2010-05-07 10:02:34+00:00,Value 12
11,Case10,0,Assign seriousness,2010-02-10 06:50:20+00:00,Value 2
12,Case11,0,Assign seriousness,2011-12-21 13:24:41+00:00,Value 4
13,Case12,0,Assign seriousness,2013-03-18 08:47:34+00:00,Value 4
14,Case13,0,Assign seriousness,2012-12-17 07:47:49+00:00,Value 4
15,Case14,0,Assign seriousness,2011-07-05 10:47:08+00:00,Value 13
16,Case15,0,Assign seriousness,2013-02-20 07:58:27+00:00,Value 2
17,Case15,1,Assign seriousness,2013-03-08 06:25:42+00:00,Value 2
18,Case16,0,Assign seriousness,2012-02-22 12:16:52+00:00,Value 1
19,Case17,0,Assign seriousness,2011-10-14 04:10:47+00:00,Value 1
20,Case18,0,Assign seriousness,2013-03-01 14:06:11+00:00,Value 1
21,Case19,0,Assign seriousness,2010-07-07 04:54:04+00:00,Value 2
22,Case20,0,Assign seriousness,2013-05-09 04:10:37+00:00,Value 14
23,Case21,0,Assign seriousness,2011-01-14 13:15:21+00:00,Value 8
24,Case22,0,Assign seriousness,2012-07-23 04:49:04+00:00,Value 1
25,Case23,0,Assign seriousness,2012-12-19 14:33:23+00:00,Value 13
26,Case24,0,Assign seriousness,2010-04-27 06:49:56+00:00,Value 2
27,Case25,0,Assign seriousness,2010-12-30 07:27:17+00:00,Value 13
28,Case26,0,Assign seriousness,2011-03-31 04:28:47+00:00,Value 2
29,Case27,0,Assign seriousness,2011-11-24 12:02:16+00:00,Value 1
30,Case28,0,Assign seriousness,2013-10-25 12:53:59+00:00,Value 9
31,Case29,0,Assign seriousness,2012-07-30 07:07:32+00:00,Value 1
32,Case30,0,Assign seriousness,2011-01-21 07:47:20+00:00,Value 2
33,Case31,0,Assign seriousness,2013-04-15 09:41:20+00:00,Value 4
34,Case32,0,Assign seriousness,2011-04-27 04:38:44+00:00,Value 8
35,Case33,0,Assign seriousness,2013-04-29 10:22:48+00:00,Value 14
36,Case34,0,Assign seriousness,2013-06-11 10:56:40+00:00,Value 14
37,Case35,0,Assign seriousness,2012-01-18 06:15:30+00:00,Value 1
38,Case36,0,Assign seriousness,2011-06-29 07:06:48+00:00,Value 2
39,Case37,0,Assign seriousness,2011-02-10 09:13:07+00:00,Value 8
40,Case38,0,Assign seriousness,2012-03-20 05:57:45+00:00,Value 4
41,Case39,0,Assign seriousness,2013-08-29 08:05:59+00:00,Value 14
42,Case40,0,Assign seriousness,2012-08-09 09:13:03+00:00,Value 4
43,Case41,0,Assign seriousness,2010-12-14 08:44:26+00:00,Value 14
44,Case42,0,Assign seriousness,2011-06-16 09:23:39+00:00,Value 8
45,Case43,0,Assign seriousness,2012-04-10 05:56:32+00:00,Value 1
46,Case44,0,Assign seriousness,2010-11-29 14:09:19+00:00,Value 2
47,Case45,0,Assign seriousness,2012-01-20 12:08:14+00:00,Value 9
48,Case46,0,Assign seriousness,2012-11-14 12:33:17+00:00,Value 1
49,Case47,0,Assign seriousness,2011-05-25 06:48:18+00:00,Value 8
50,Case48,1,Assign seriousness,2010-12-02 12:07:33+00:00,Value 2
51,Case49,0,Assign seriousness,2011-11-25 12:33:54+00:00,Value 2
52,Case50,0,Assign seriousness,2012-01-16 08:53:01+00:00,Value 4
53,Case51,0,Assign seriousness,2012-06-13 10:55:36+00:00,Value 4
54,Case52,0,Assign seriousness,2012-07-26 12:18:26+00:00,Value 13
55,Case53,0,Assign seriousness,2010-10-14 10:53:13+00:00,Value 2
56,Case54,0,Assign seriousness,2013-11-07 06:20:59+00:00,Value 1
57,Case55,0,Assign seriousness,2011-10-26 12:51:42+00:00,Value 4
58,Case56,0,Assign seriousness,2012-01-30 09:32:58+00:00,Value 2
59,Case57,0,Assign seriousness,2010-10-29 06:39:23+00:00,Value 6
60,Case58,0,Assign seriousness,2012-11-16 13:49:30+00:00,Value 1
61,Case59,0,Assign seriousness,2012-03-28 09:28:37+00:00,Value 1
62,Case60,0,Assign seriousness,2011-04-06 12:35:49+00:00,Value 13
63,Case61,0,Assign seriousness,2011-09-16 04:04:39+00:00,Value 1
64,Case62,0,Assign seriousness,2012-05-28 12:16:47+00:00,Value 4
65,Case63,0,Assign seriousness,2013-03-06 13:05:09+00:00,Value 4
66,Case64,0,Assign seriousness,2011-04-14 12:54:28+00:00,Value 13
67,Case64,1,Assign seriousness,2011-04-14 12:54:46+00:00,Value 13
68,Case65,0,Assign seriousness,2013-02-13 11:41:45+00:00,Value 4
