,trace_id,event_id,resource,timestamp,resource
0,Case1,0,Value 1,2012-10-09 11:50:17+00:00,Value 1
1,Case7,0,Value 1,2013-11-06 08:47:35+00:00,Value 1
2,Case7,1,Value 1,2013-11-06 08:48:53+00:00,Value 1
3,Case8,0,Value 1,2012-07-05 05:30:32+00:00,Value 1
4,Case16,0,Value 1,2012-02-22 12:16:52+00:00,Value 1
5,Case17,0,Value 1,2011-10-14 04:10:47+00:00,Value 1
6,Case18,0,Value 1,2013-03-01 14:06:11+00:00,Value 1
7,Case22,0,Value 1,2012-07-23 04:49:04+00:00,Value 1
8,Case27,0,Value 1,2011-11-24 12:02:16+00:00,Value 1
9,Case29,0,Value 1,2012-07-30 07:07:32+00:00,Value 1
10,Case35,0,Value 1,2012-01-18 06:15:30+00:00,Value 1
11,Case43,0,Value 1,2012-04-10 05:56:32+00:00,Value 1
12,Case46,0,Value 1,2012-11-14 12:33:17+00:00,Value 1
13,Case54,0,Value 1,2013-11-07 06:20:59+00:00,Value 1
14,Case58,0,Value 1,2012-11-16 13:49:30+00:00,Value 1
15,Case59,0,Value 1,2012-03-28 09:28:37+00:00,Value 1
16,Case61,0,Value 1,2011-09-16 04:04:39+00:00,Value 1
17,Case69,0,Value 1,2013-04-05 05:30:22+00:00,Value 1
18,Case73,0,Value 1,2012-07-31 08:01:15+00:00,Value 1
19,Case76,0,Value 1,2012-01-10 13:01:36+00:00,Value 1
20,Case83,0,Value 1,2013-07-16 11:19:52+00:00,Value 1
21,Case86,0,Value 1,2012-06-12 13:12:48+00:00,Value 1
22,Case87,0,Value 1,2011-11-14 12:35:55+00:00,Value 1
23,Case89,0,Value 1,2013-02-26 14:56:03+00:00,Value 1
24,Case93,0,Value 1,2012-07-25 04:02:54+00:00,Value 1
25,Case95,0,Value 1,2011-09-26 07:27:14+00:00,Value 1
26,Case96,0,Value 1,2012-02-27 14:31:32+00:00,Value 1
27,Case98,0,Value 1,2012-07-05 09:16:51+00:00,Value 1
28,Case100,0,Value 1,2013-04-12 07:25:17+00:00,Value 1
29,Case105,0,Value 1,2012-11-20 07:00:13+00:00,Value 1
30,Case106,0,Value 1,2013-02-15 11:12:20+00:00,Value 1
31,Case112,0,Value 1,2011-10-06 04:50:55+00:00,Value 1
32,Case114,0,Value 1,2013-09-11 09:51:59+00:00,Value 1
33,Case115,0,Value 1,2013-02-14 09:54:22+00:00,Value 1
34,Case124,0,Value 1,2012-06-07 12:31:32+00:00,Value 1
35,Case128,0,Value 1,2011-11-28 06:10:27+00:00,Value 1
36,Case129,0,Value 1,2013-04-05 13:15:52+00:00,Value 1
37,Case132,0,Value 1,2012-06-21 09:50:46+00:00,Value 1
38,Case142,0,Value 1,2012-03-07 09:00:05+00:00,Value 1
39,Case148,0,Value 1,2012-01-09 09:19:35+00:00,Value 1
40,Case152,0,Value 1,2012-05-18 09:08:58+00:00,Value 1
41,Case159,0,Value 1,2011-09-21 04:12:16+00:00,Value 1
42,Case162,0,Value 1,2011-10-04 12:47:43+00:00,Value 1
43,Case167,0,Value 1,2011-11-23 12:43:38+00:00,Value 1
44,Case168,0,Value 1,2012-01-09 08:01:47+00:00,Value 1
45,Case169,0,Value 1,2013-01-28 15:05:44+00:00,Value 1
46,Case170,0,Value 1,2012-05-02 12:54:51+00:00,Value 1
47,Case176,0,Value 1,2012-07-17 07:44:26+00:00,Value 1
48,Case177,0,Value 1,2012-01-18 06:12:04+00:00,Value 1
49,Case178,0,Value 1,2012-02-22 12:49:43+00:00,Value 1
50,Case179,0,Value 1,2012-04-11 10:30:07+00:00,Value 1
51,Case180,0,Value 1,2011-10-06 07:23:22+00:00,Value 1
52,Case181,0,Value 1,2011-09-29 06:51:55+00:00,Value 1
53,Case193,0,Value 1,2013-04-12 04:32:41+00:00,Value 1
54,Case194,0,Value 1,2012-02-08 09:28:03+00:00,Value 1
55,Case196,0,Value 1,2011-11-16 08:45:30+00:00,Value 1
56,Case197,0,Value 1,2012-06-01 05:18:57+00:00,Value 1
57,Case200,0,Value 1,2012-04-12 11:59:24+00:00,Value 1
58,Case204,0,Value 1,2011-10-31 13:30:39+00:00,Value 1
59,Case223,0,Value 1,2012-03-15 11:28:02+00:00,Value 1
60,Case229,0,Value 1,2011-11-23 07:44:28+00:00,Value 1
61,Case233,0,Value 1,2012-10-19 06:25:05+00:00,Value 1
62,Case241,0,Value 1,2012-05-17 12:53:08+00:00,Value 1
63,Case251,0,Value 1,2012-06-26 11:50:34+00:00,Value 1
64,Case262,0,Value 1,2013-01-29 14:05:40+00:00,Value 1
65,Case263,0,Value 1,2011-12-28 14:51:52+00:00,Value 1
66,Case272,0,Value 1,2012-01-25 05:58:57+00:00,Value 1
67,Case274,0,Value 1,2012-04-20 07:47:22+00:00,Value 1
68,Case277,0,Value 1,2012-03-13 07:47:21+00:00,Value 1
