,trace_id,event_id,resource,timestamp,resource
0,Case1,0,Value 1,2012-10-09 11:50:17+00:00,Value 1
1,Case1,1,Value 1,2012-10-09 11:51:01+00:00,Value 1
2,Case1,3,Value 1,2012-10-25 08:54:26+00:00,Value 1
3,Case7,0,Value 1,2013-11-06 08:47:35+00:00,Value 1
4,Case7,1,Value 1,2013-11-06 08:48:53+00:00,Value 1
5,Case8,0,Value 1,2012-07-05 05:30:32+00:00,Value 1
6,Case16,0,Value 1,2012-02-22 12:16:52+00:00,Value 1
7,Case16,2,Value 1,2012-02-22 14:23:57+00:00,Value 1
8,Case17,0,Value 1,2011-10-14 04:10:47+00:00,Value 1
9,Case18,0,Value 1,2013-03-01 14:06:11+00:00,Value 1
10,Case18,1,Value 1,2013-03-18 12:04:03+00:00,Value 1
11,Case18,2,Value 1,2013-03-19 08:22:40+00:00,Value 1
12,Case18,3,Value 1,2013-03-19 08:22:40+00:00,Value 1
13,Case22,0,Value 1,2012-07-23 04:49:04+00:00,Value 1
14,Case22,1,Value 1,2012-07-23 04:49:14+00:00,Value 1
15,Case22,2,Value 1,2012-07-23 05:51:59+00:00,Value 1
16,Case22,3,Value 1,2012-08-27 07:05:23+00:00,Value 1
17,Case23,2,Value 1,2013-01-22 13:50:53+00:00,Value 1
18,Case27,0,Value 1,2011-11-24 12:02:16+00:00,Value 1
19,Case27,1,Value 1,2011-11-24 12:02:35+00:00,Value 1
20,Case28,4,Value 1,2013-11-14 13:55:48+00:00,Value 1
21,Case28,5,Value 1,2013-12-23 06:08:05+00:00,Value 1
22,Case29,0,Value 1,2012-07-30 07:07:32+00:00,Value 1
23,Case29,1,Value 1,2012-07-30 07:07:40+00:00,Value 1
24,Case29,2,Value 1,2012-07-30 09:29:40+00:00,Value 1
25,Case35,0,Value 1,2012-01-18 06:15:30+00:00,Value 1
26,Case35,1,Value 1,2012-01-18 07:46:37+00:00,Value 1
27,Case43,0,Value 1,2012-04-10 05:56:32+00:00,Value 1
28,Case46,0,Value 1,2012-11-14 12:33:17+00:00,Value 1
29,Case54,0,Value 1,2013-11-07 06:20:59+00:00,Value 1
30,Case58,0,Value 1,2012-11-16 13:49:30+00:00,Value 1
31,Case58,1,Value 1,2012-11-16 13:49:51+00:00,Value 1
32,Case59,0,Value 1,2012-03-28 09:28:37+00:00,Value 1
33,Case59,1,Value 1,2012-03-28 09:28:47+00:00,Value 1
34,Case59,2,Value 1,2012-03-28 12:32:57+00:00,Value 1
35,Case59,3,Value 1,2012-03-28 12:32:57+00:00,Value 1
36,Case61,0,Value 1,2011-09-16 04:04:39+00:00,Value 1
37,Case69,0,Value 1,2013-04-05 05:30:22+00:00,Value 1
38,Case73,0,Value 1,2012-07-31 08:01:15+00:00,Value 1
39,Case73,1,Value 1,2012-07-31 08:02:02+00:00,Value 1
40,Case76,0,Value 1,2012-01-10 13:01:36+00:00,Value 1
41,Case76,1,Value 1,2012-01-10 13:58:08+00:00,Value 1
42,Case83,0,Value 1,2013-07-16 11:19:52+00:00,Value 1
43,Case83,1,Value 1,2013-07-23 05:59:56+00:00,Value 1
44,Case83,2,Value 1,2013-07-24 05:11:00+00:00,Value 1
45,Case83,3,Value 1,2013-08-19 12:22:57+00:00,Value 1
46,Case86,0,Value 1,2012-06-12 13:12:48+00:00,Value 1
47,Case87,0,Value 1,2011-11-14 12:35:55+00:00,Value 1
48,Case89,0,Value 1,2013-02-26 14:56:03+00:00,Value 1
49,Case93,0,Value 1,2012-07-25 04:02:54+00:00,Value 1
50,Case95,0,Value 1,2011-09-26 07:27:14+00:00,Value 1
51,Case95,1,Value 1,2011-09-29 10:54:32+00:00,Value 1
52,Case95,2,Value 1,2011-09-30 06:09:23+00:00,Value 1
53,Case96,0,Value 1,2012-02-27 14:31:32+00:00,Value 1
54,Case96,2,Value 1,2012-02-29 06:25:13+00:00,Value 1
55,Case96,3,Value 1,2012-02-29 06:25:14+00:00,Value 1
