,Dataset,Model,Next Step,Next Resource,Last Resource,Outcome,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix,
23,BPIC12,Camargo_concat,0.807524443,0.518502712,0.172193751,0.416666657,0.471872568,7.783876419,,,
32,BPIC12_A,Camargo_concat,0.682262421,0.469744235,0.237367436,0.37564981,1.90001905,7.788814068,,,
41,BPIC12_O,Camargo_concat,0.78275007,0.271753669,0.181487858,0.510996342,2.173296213,7.957755089,,,
81,BPIC12_W,Camargo_concat,0.821770906,0.114149742,,,1.105073094,,,,
50,BPIC12_Wc,Camargo_concat,0.77378875,0.104379624,0.110446274,0.435302913,1.96500814,8.366422653,,,
59,BPIC13_CP,Camargo_concat,0.53134042,0.085824497,0.211186111,1,49.60475159,134.2516785,,,
68,BPIC17_O,Camargo_concat,0.817601085,0.064241745,0.191963986,0.518567562,3.601052046,9.623775482,,,
77,BPIC20_RFP,Camargo_concat,0.791995943,0.997309566,0.957961977,0.957289398,2.933367729,6.014422417,,,
87,BPIC20_RFP,Camargo_concat,0.848495066,0.996132493,,,2.653491497,,,,
5,Helpdesk,Camargo_concat,0.5625,0.43244049,0.810714304,0.994047642,7.597950935,6.474476814,,,
84,Helpdesk,Camargo_concat,0.788392842,0.43244049,,,8.019375801,,,,
14,Mobis,Camargo_concat,0.798137367,0.162919015,0.074506424,0.797977865,4.135649204,30.28274536,,,
90,Mobis,Camargo_concat,0.272127062,0.162919015,,,6.037042618,,,,
6,Helpdesk,Camargo_fullconcat,0.808928549,0.43244049,0.810714304,0.994047642,4.873561382,7.084167004,,,
15,Mobis,Camargo_fullconcat,0.845628798,0.162919015,0.074506424,0.797977865,4.662155151,24.36917686,,,
24,BPIC12,Camargo_fullconcat,0.656822264,0.149041653,0.172193751,0.416666657,0.86349982,6.571656704,,,
33,BPIC12_A,Camargo_fullconcat,0.752235413,0.469744235,0.237367436,0.37564981,1.490294099,7.683955193,,,
42,BPIC12_O,Camargo_fullconcat,0.789825976,0.314591706,0.181487858,0.510996342,2.209779501,7.621774197,,,
51,BPIC12_Wc,Camargo_fullconcat,0.821324706,0.104379624,0.110446274,0.435302913,2.061423302,7.423521042,,,
60,BPIC13_CP,Camargo_fullconcat,0.517839909,0.157184184,0.211186111,1,66.36510468,146.5972137,,,
69,BPIC17_O,Camargo_fullconcat,0.817601085,0.064241745,0.191963986,0.521016777,3.623228073,9.491481781,,,
78,BPIC20_RFP,Camargo_fullconcat,0.791659653,0.996973276,0.957961977,0.957289398,2.974620819,5.821395397,,,
4,Helpdesk,Camargo_Spezialized,0.788392842,0.224404767,0.810714304,0.994047642,7.703012466,6.631237984,,,
13,Mobis,Camargo_Spezialized,0.899403572,0.162919015,0.074506424,0.797977865,3.801107645,30.27804184,,,
22,BPIC12,Camargo_Spezialized,0.803183436,0.736075521,0.172193751,0.416666657,0.473903239,7.844872952,,,
31,BPIC12_A,Camargo_Spezialized,0.754730701,0.469744235,0.237367436,0.37564981,1.269382596,8.023159027,,,
40,BPIC12_O,Camargo_Spezialized,0.824058115,0.363931924,0.181487858,0.510996342,2.22725153,8.025902748,,,
49,BPIC12_Wc,Camargo_Spezialized,0.77378875,0.104379624,0.110446274,0.435302913,1.805286646,8.340218544,,,
58,BPIC13_CP,Camargo_Spezialized,0.522661507,0.085824497,0.211186111,1,48.83372498,134.9568176,,,
67,BPIC17_O,Camargo_Spezialized,0.817601085,0.064241745,0.191963986,0.518534482,3.575713634,9.632660866,,,
76,BPIC20_RFP,Camargo_Spezialized,0.634437561,0.85404408,0.957961977,0.957289398,2.643785477,5.94133997,,,
0,Helpdesk,Evermann,0.529166639,0.213690475,0.810714304,0.994047642,,,,,
9,Mobis,Evermann,0.779797792,0.162919015,0.074506424,0.797977865,,,,,
18,BPIC12,Evermann,0.452201337,0.149041653,0.172193751,0.416666657,,,,,
27,BPIC12_A,Evermann,0.73133707,0.469744235,0.237367436,0.37564981,,,,,
36,BPIC12_O,Evermann,0.53624022,0.21916236,0.181487858,0.510996342,,,,,
45,BPIC12_Wc,Evermann,0.77378875,0.104379624,0.110446274,0.435302913,,,,,
54,BPIC13_CP,Evermann,0.524590135,0.076181293,0.211186111,1,,,,,
63,BPIC17_O,Evermann,0.817601085,0.064241745,0.198782027,0.518534482,,,,,
72,BPIC20_RFP,Evermann,0.634269357,0.578106582,0.957961977,0.957289398,,,,,
25,BPIC12,MiDA,0.569 ,0.149 ,0.172 ,0.417 ,0.654 ,6.595 ,,,
34,BPIC12_A,MiDA,0.272 ,0.470 ,0.237 ,0.376 ,1.370 ,7.605 ,,,
43,BPIC12_O,MiDA,0.536 ,0.140 ,0.181 ,0.511 ,2.465 ,7.639 ,,,
83,BPIC12_W,MiDA,0.377773315,0.114149742,,,0.912305415,,,,
52,BPIC12_Wc,MiDA,0.812 ,0.104 ,0.143 ,0.435 ,1.598 ,7.417 ,,,
61,BPIC13_CP,MiDA,0.527 ,0.086 ,0.211 ,1.000 ,62.212 ,123.788 ,,,
70,BPIC17_O,MiDA,0.818 ,0.064 ,0.192 ,0.827 ,3.292 ,9.000 ,,,
79,BPIC20_RFP,MiDA,0.634 ,0.997 ,0.958 ,0.957 ,2.466 ,5.711 ,,,
89,BPIC20_RFP,MiDA,0.181604177,0.578106582,,,2.566304445,,,,
7,Helpdesk,MiDA,0.788 ,0.224 ,0.811 ,0.994 ,4.890 ,6.579 ,,,
86,Helpdesk,MiDA,0.271726191,0.213690475,,,5.544550419,,,,
16,Mobis,MiDA,0.788 ,0.163 ,0.084 ,0.798 ,3.317 ,24.962 ,,,
92,Mobis,MiDA,0.851688862,0.162919015,,,2.036170959,,,,
8,Helpdesk,MPPN,0.804464281,0.69404763,0.849107146,0.994047642,5.093906879,6.648643494,,,
17,Mobis,MPPN,0.929129601,0.556916416,0.132905945,0.808407485,4.360191822,23.68963051,,,
26,BPIC12,MPPN,0.847993195,0.772630215,0.312197566,0.532379746,0.794160187,6.626048088,,,
35,BPIC12_A,MPPN,0.75140363,0.674776435,0.341235191,0.519442737,1.386256576,7.694725037,,,
44,BPIC12_O,MPPN,0.826926768,0.636450589,0.18301779,0.513673723,2.487596035,7.623021126,,,
53,BPIC12_Wc,MPPN,0.81093657,0.220975652,0.137787744,0.536441445,1.744911909,7.643911362,,,
62,BPIC13_CP,MPPN,0.574734807,0.181292191,0.211186111,1,56.38792801,131.5223083,,,
71,BPIC17_O,MPPN,0.817601085,0.454524398,0.206990138,0.518501341,3.715458155,9.556073189,,,
80,BPIC20_RFP,MPPN,0.848831356,0.996636987,0.957961977,0.958298326,4.485147476,7.470694065,,,
3,Helpdesk,Tax_Mixed,0.301488101,,,0.994047642,14.85535049,7.09928751,,,
12,Mobis,Tax_Mixed,0.820144832,,,0.797977865,1.848983049,20.51317787,,,
21,BPIC12,Tax_Mixed,0.758112729,,,0.416666657,0.420783997,6.75293684,,,
30,BPIC12_A,Tax_Mixed,0.272093982,,,0.37564981,1.346305013,8.178851128,,,
39,BPIC12_O,Tax_Mixed,0.775291622,,,0.510996342,2.074439526,9.144779205,,,
48,BPIC12_Wc,Tax_Mixed,0.77378875,,,0.435302913,1.608947635,7.409196854,,,
57,BPIC13_CP,Tax_Mixed,0.310511082,,,1,112.6765289,176.1943665,,,
66,BPIC17_O,Tax_Mixed,0.817601085,,,0.462567031,3.93061161,9.925230026,,,
75,BPIC20_RFP,Tax_Mixed,0.786783278,,,0.957289398,2.35462904,8.561174393,,,
20,BPIC12,Tax_Shared,0.814474821,,,0.5083974,0.77393502,6.602772236,,,
29,BPIC12_A,Tax_Shared,0.741942167,,,0.512164712,1.286181331,7.527405262,,,
38,BPIC12_O,Tax_Shared,0.788678527,,,0.510996342,2.15562129,7.702490807,,,
82,BPIC12_W,Tax_Shared,0.837623179,,,,1.102509022,,,,
47,BPIC12_Wc,Tax_Shared,0.770049036,,,0.565528154,1.718971848,7.353410721,,,
56,BPIC13_CP,Tax_Shared,0.52073288,,,1,46.0017128,129.6547089,,,
65,BPIC17_O,Tax_Shared,0.817601085,,,0.518534482,3.534703255,9.481853485,,,
74,BPIC20_RFP,Tax_Shared,0.848158717,,,0.957289398,2.210238695,5.733571529,,,
88,BPIC20_RFP,Tax_Shared,0.849672079,,,,2.056420565,,,,
2,Helpdesk,Tax_Shared,0.787500024,,,0.994047642,5.204212189,6.706272602,,,
85,Helpdesk,Tax_Shared,0.792559505,,,,5.041662693,,,,
11,Mobis,Tax_Shared,0.920167148,,,0.797977865,2.827546835,21.01816368,,,
91,Mobis,Tax_Shared,0.93282938,,,,1.761788607,,,,
1,Helpdesk,Tax_Spezialized,0.789880931,,,0.994047642,7.53380537,7.093758583,,,
10,Mobis,Tax_Spezialized,0.843364298,,,0.797977865,4.365451813,24.48900604,,,
19,BPIC12,Tax_Spezialized,0.805199742,,,0.416666657,0.598295867,7.438697338,,,
28,BPIC12_A,Tax_Spezialized,0.622478664,,,0.37564981,1.286728859,7.60712719,,,
37,BPIC12_O,Tax_Spezialized,0.53624022,,,0.510996342,2.528054476,7.763176441,,,
46,BPIC12_Wc,Tax_Spezialized,0.604753613,,,0.435302913,1.684527159,7.875986099,,,
55,BPIC13_CP,Tax_Spezialized,0.524590135,,,1,49.80780411,143.4692841,,,
64,BPIC17_O,Tax_Spezialized,0.662474334,,,0.462567031,3.519362688,9.548855782,,,
73,BPIC20_RFP,Tax_Spezialized,0.634269357,,,0.957289398,2.437542439,6.024627686,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
