Dataset,Model,Case Length,DURATION TO END_F1,DURATION TO NEXT EVENT_F1,LAST RESOURCE_F1,NEXT RESOURCE_F1,NEXT ACTIVITY_F1,OUTCOME ACTIVITY_F1,DURATION TO END_F2,DURATION TO NEXT EVENT_F2,LAST RESOURCE_F2,NEXT RESOURCE_F2,NEXT ACTIVITY_F2,OUTCOME ACTIVITY_F2
BPIC12,Camargo_concat,DATASET-LEVEL,0.6576134992611711,0.0,0.737706781565141,0.2868755189967857,0.0,0.6586657007308288,0.0,nan,0.0,0.0,0.0,0.0
BPIC12,Camargo_concat,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,2,0.0,0.0,0.052908178328904626,1.0,0.9155709739871338,0.7306105042082143,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,3,0.0,0.0,0.0,0.0,0.0,0.34375,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,4,0.0,0.0,0.0,0.7857142857142856,0.0,0.34375,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,5,0.0,0.0,0.0,0.01692307692307692,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,6,0.0,0.0,0.0,0.02536615436124591,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,7,0.0,0.0,0.0,0.006612089121063374,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,8,0.0,0.0,0.0,0.0,0.0010029175784099197,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,9,0.0,0.0,0.0,0.00030099915765953927,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,10,0.0,0.0,0.0,0.0,0.00328750747160789,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,11,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,12,0.0,0.0,0.0,0.00272247745448358,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,13,0.0,0.0,0.0,0.00408371618172537,0.0016316540893330613,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,14,0.0,0.0,0.0,0.005905511811023623,0.0,0.0,nan,nan,nan,nan,nan,nan
BPIC12,Camargo_concat,15,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
